id,hub,zcta,state,latitude,longitude,predicted_pressure,predicted_risk,owner_households,renter_households,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd
16621-2024,ZCTA 16621,16621,US,40.258409,-78.108868,100.81932506060151,OK,210,30,4.48,-23.08,3.07,783.0
50541-2024,ZCTA 50541,50541,US,42.710087,-94.452544,100.81778461403736,OK,341,81,2.71,-33.06,-4.14,663.0
07722-2024,ZCTA 07722,7722,US,40.287799,-74.166807,100.81730423027672,OK,3404,225,1.73,-18.77,0.48,2862.0
55054-2024,ZCTA 55054,55054,US,44.571531,-93.350679,100.806151684473,OK,811,70,1.38,-23.08,3.51,2200.0
05873-2024,ZCTA 05873,5873,US,44.405064,-72.216725,100.79872528883183,OK,335,56,17.54,-30.0,-1.85,871.0
02702-2024,ZCTA 02702,2702,US,41.785113,-71.059047,100.79049646749215,OK,1455,121,2.25,-21.43,0.37,1670.0
67741-2024,ZCTA 67741,67741,US,39.38688,-102.0048,100.78978799758502,OK,89,18,-15.24,-10.0,-5.61,950.0
16218-2024,ZCTA 16218,16218,US,40.92612,-79.592645,100.78676373798592,OK,351,45,-3.04,-15.09,-3.04,441.0
86337-2024,ZCTA 86337,86337,US,35.241004,-113.051203,100.7862518564309,OK,734,148,12.75,-33.03,-4.74,678.0
49682-2024,ZCTA 49682,49682,US,44.988312,-85.647337,100.77759972538803,OK,1728,170,12.57,-27.66,6.31,1170.0
67427-2024,ZCTA 67427,67427,US,38.498463,-98.399346,100.76913665382672,OK,150,15,-13.29,-6.25,-2.85,817.0
80106-2024,ZCTA 80106,80106,US,39.186147,-104.515915,100.76277111962719,OK,1695,89,-1.68,-11.88,-2.18,1219.0
54540-2024,ZCTA 54540,54540,US,46.154791,-89.372738,100.75146855281518,OK,421,47,2.18,-9.62,-1.33,608.0
35452-2024,ZCTA 35452,35452,US,33.303767,-87.699779,100.7329688678222,OK,1527,147,0.13,-20.54,-0.51,1286.0
56518-2024,ZCTA 56518,56518,US,46.490076,-95.250361,100.72959636163226,OK,142,22,-1.39,-24.14,-1.1,843.0
06249-2024,ZCTA 06249,6249,US,41.632955,-72.24009,100.72869841803816,OK,2495,339,5.9,-27.1,-3.71,1630.0
57048-2024,ZCTA 57048,57048,US,43.741984,-97.200336,100.72615585686667,OK,387,60,-6.07,-17.81,-12.79,685.0
95039-2024,ZCTA 95039,95039,US,36.827745,-121.76529,100.72256403514375,OK,175,102,-23.25,-30.14,-18.56,1197.0
84760-2024,ZCTA 84760,84760,US,37.949582,-112.661783,100.71496665760793,OK,355,50,12.7,-30.56,2.98,1086.0
16245-2024,ZCTA 16245,16245,US,41.001559,-79.293138,100.7053198659548,OK,86,15,-19.63,-11.76,-18.55,597.0
