id,hub,zcta,state,latitude,longitude,risk,volume,demand_index,owner_households,renter_households,owner_share_pct,renter_share_pct,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd,source
61748-2024,ZCTA 61748,61748,US,40.622397,-88.996779,STOCKOUT_RISK,50,192.36,982,34,89.35,3.09,3.92,161.54,-0.81,780.0,ACS DP04 + ACS5 (national)
36262-2024,ZCTA 36262,36262,US,33.793448,-85.468276,STOCKOUT_RISK,40,192.34,505,115,74.05,16.86,-5.78,161.36,6.9,779.0,ACS DP04 + ACS5 (national)
18346-2024,ZCTA 18346,18346,US,41.142754,-75.421191,STOCKOUT_RISK,62,192.24,767,66,55.82,4.8,-9.02,164.0,0.22,1865.0,ACS DP04 + ACS5 (national)
68458-2024,ZCTA 68458,68458,US,40.22581,-96.492404,STOCKOUT_RISK,40,192.13,79,21,79.0,21.0,-8.14,162.5,6.38,579.0,ACS DP04 + ACS5 (national)
98524-2024,ZCTA 98524,98524,US,47.366613,-122.835817,STOCKOUT_RISK,97,191.85,1644,94,77.33,4.42,-6.06,161.11,-1.3,2083.0,ACS DP04 + ACS5 (national)
99148-2024,ZCTA 99148,99148,US,48.107298,-117.571356,STOCKOUT_RISK,96,190.42,980,221,46.01,10.38,-0.1,156.98,1.48,989.0,ACS DP04 + ACS5 (national)
33854-2024,ZCTA 33854,33854,US,27.856274,-81.40993,STOCKOUT_RISK,40,190.23,102,372,13.13,47.88,-6.42,143.14,26.55,727.0,ACS DP04 + ACS5 (national)
53047-2024,ZCTA 53047,53047,US,43.260504,-88.628678,STOCKOUT_RISK,40,190.22,35,15,66.04,28.3,34.62,114.29,47.22,765.0,ACS DP04 + ACS5 (national)
61425-2024,ZCTA 61425,61425,US,40.759246,-91.040136,STOCKOUT_RISK,40,189.98,187,81,56.84,24.62,-3.11,153.12,8.58,701.0,ACS DP04 + ACS5 (national)
78950-2024,ZCTA 78950,78950,US,29.904948,-96.482617,STOCKOUT_RISK,57,189.53,837,143,65.65,11.22,1.7,150.88,6.25,1304.0,ACS DP04 + ACS5 (national)
66072-2024,ZCTA 66072,66072,US,38.31847,-94.974751,STOCKOUT_RISK,40,189.27,446,28,89.38,5.61,0.9,154.55,5.94,823.0,ACS DP04 + ACS5 (national)
51520-2024,ZCTA 51520,51520,US,41.969194,-95.459299,STOCKOUT_RISK,40,189.1,91,26,73.98,21.14,-13.33,160.0,6.96,592.0,ACS DP04 + ACS5 (national)
49272-2024,ZCTA 49272,49272,US,42.394756,-84.351271,STOCKOUT_RISK,54,188.56,1010,94,82.85,7.71,1.1,154.05,0.74,923.0,ACS DP04 + ACS5 (national)
83325-2024,ZCTA 83325,83325,US,42.589607,-114.236404,STOCKOUT_RISK,40,188.27,196,123,55.52,34.84,4.81,136.54,21.31,979.0,ACS DP04 + ACS5 (national)
44441-2024,ZCTA 44441,44441,US,40.755333,-80.548808,STOCKOUT_RISK,40,188.21,574,58,84.79,8.57,-11.69,163.64,-3.29,733.0,ACS DP04 + ACS5 (national)
11766-2024,ZCTA 11766,11766,US,40.939219,-73.018666,STOCKOUT_RISK,184,187.59,3637,297,88.06,7.19,-2.83,147.5,2.23,3088.0,ACS DP04 + ACS5 (national)
22473-2024,ZCTA 22473,22473,US,37.881713,-76.411838,STOCKOUT_RISK,166,187.0,2085,287,55.84,7.69,-4.45,156.25,-4.35,1006.0,ACS DP04 + ACS5 (national)
